공고명,관련,호
2025년도 리저널 심포지엄 행사 운영대행 용역,1,69
인구감소지역 대응을 위한 컨설팅 지원 용역,2,54
2025 정부혁신 왕중왕전(경진대회) 행사 운영 대행,1,69
「2025 대한민국 정부 박람회」 행사 대행 용역,1,69
제38주년 6.10민주항쟁 기념식 및 개관식 개최 대행,1,69
2025 주한외교사절 대상 재난안전 정책설명회 행사대행 용역,1,69
나라사랑 태극기 달기 영상 제작,2,75
안전취약계층 안전 개선 디자인 개발(Ⅱ),2,76
2025년 기록의 날 기념 행사 대행 용역,1,69
2025년 기록관리교육센터 교육생 셔틀버스 임차용역,2,67
2025년 사이버교육 콘텐츠 제작 사업,2,75
2025년 지진안전 홍보사업(긴급입찰),1,56
2025년 생애주기별 안전교육 콘텐츠 개발 사업,2,75
2025년 공공서비스디자인 사업운영 및 과제 지원체계 구축 연구용역,2,76
제9회 대한민국 국가상징 디자인 공모전 용역,2,76
2025년 재난안전기업 통합한국관 운영 사업,1,69
2025년 재난대비훈련 홍보 대행 사업,1,56
제15기 국민추천포상 홍보 용역,1,56
2025년 재난안전기업 사업화 역량강화 컨설팅 지원사업,2,54
2026년 강릉경찰서폴키즈어린이집 식자재 납품업체 입찰공고,1,19
삼척경찰서어린이집 2026학년도 식자재 납품업체 선정 입찰 공고,1,19
2026년도 경비함정 주·부식 공급 단가계약,1,24
2026년도 서해5도특별경비단 경비함정 주부식 납품업체 선정,1,24
부산경찰청어린이집 식자제납품업체 선정,1,19
2026년 함정 주부식 납품업체 선정 공고,1,19
원주경찰서어린이집 식자재 납품업체 입찰 공고,1,19
2026년 사하경찰서 어린이집 식자재 납품업체 선정 입찰공고,1,19
양산경찰서어린이집 식자재납품업체 선정공고,1,19
인천삼산경찰서어린이집 식자재납품업체 선정공고,1,19
용인서부경찰서어린이집 식자재 납품업체 선정 입찰 공고,1,19
일산서부경찰서 어린이집 식자재업체 입찰공고,1,24
2026년 경찰병원 장례식장 주류 구매,2,20
"2026년 경찰병원 장례식장 잡화,안주류 구매",1,19
2026년 경찰병원 장례식장 음료류 구매,1,19
2026년 경찰병원 장례식장 과일류 구매,1,1
평택해양경찰서 2026년도 경비함정 주부식 납품업체 선정 공고(협상에 의한 계약),1,19
경찰대학 구내식당 관리위탁 용역,2,29
2026년 목포해양경찰서 경비함정 주부식 납품업체 선정 공고,1,19
2026-2027년 경찰인재개발원 및 수사연수원 구내식당 급식위탁관리용역 입찰 공고,2,9
2026년 울산해양경찰서 함정 주부식 공급업체 선정건,1,19
25년 동해해양경찰서 경비함정 주부식 납품업체 선정,1,19
2025년도 제주해양경찰서 경비함정 주·부식 납품 단가계약,1,19
나라키움 대전통합청사 구내식당 위탁 용역  공고,2,29
나라키움 대전 통합청사 구내식당 위탁운영  ,2,29
2025~2026년 포항해양경찰서 경비함정 주부식 납품업체 선정,1,19
25~26년 속초해양경찰서 경비함정 통합 주부식 납품업체 선정,1,19
2025년 강원경찰청어린이집 식자재  공급 업체 입찰 공고,1,19
2025년 전투비상식량 구매,2,9
장례식장 식당 위탁운영(2025~2027),2,29
2025년 인천해양경찰서 경비함정 주부식 납품업체 선정,1,19
2025년 생일 축하 상품권 구매,1,81
25년 경찰청 SNS 채널 운영,1,56
2025년 경찰청 산업기술보호 홍보 영상 제작,2,75
2025년 충남경찰청어린이집 식자재 납품업체 선정 입찰 공고,1,24
2025년 동두천경찰서어린이집 식자재납품업체 선정 입찰공고,1,24
양주경찰서어린이집 2025년 식자재 납품업체 선정,1,24
순천경찰서어린이집 2025학년도 식자재 납품업체 선정 입찰공고,1,24
울산경찰청어린이집 친환경 급식재료 납품업체 선정,1,24
인천서부경찰서어린이집 2025년도 식자재납품업체 선정 입찰공고,1,24
2025년 남양주남부 경찰서어린이집 식자재 납품업체 선정 입찰공고,1,24
연수경찰서어린이집 영유아아이들 식자재 납품업체 선정 신선하고 안전한 식재료 급식 간식 식자재 납품업체를 아래와 같이 공개 모집하오니 계약 체결의사가 있는 업체의 많은 참여바랍니다,1,24
대구남부경찰서어린이집 2025년 식자재납품업체 선정,1,24
천안동남경찰서어린이집 2025년 식자재 납품업체 선정,1,24
구리경찰서 어린이집 식자재 납품업체 선정 입찰공고,1,24
2025년 안산상록경찰서어린이집 식자재납품업체 입찰공고,1,24
2024년 울산북부경찰서어린이집 식자재 납품 업체 선정 입찰 공고,1,24
2025년 대구강북경찰서어린이집 식자재 납품업체 선정입찰공고,1,24
2025년도 목포경찰서어린이집 식자재 납품업체 선정 입찰공고,1,24
김해서부경찰서어린이집 2025학년도 식자재납품 업체선정 입찰공고,1,24
제천경찰서 어린이집 2025학년도 식자재납품업체선정입찰공고,1,24
2025년 여수경찰서어린이집 식자재 납품업체 선정 입찰 공고,1,24
울산동부경찰서어린이집 2025학년도 식자재납품업체 선정 공고,1,24
경기남부경찰청어린이집식자재납품업체 선정 공고,1,24
2025년도 경찰청어린이집 식자재납품업체선정 입찰공고,1,24
2025년 군포경찰서 어린이집 식자재 납품업체 선정공고,1,24
25년 성남중원경찰서어린이집 식자재 납품업체 선정공고,1,24
2025년 수원남부경찰서어린이집 식자재 납품 업체 선정 입찰공고,1,24
2025년 의정부경찰서어린이집 식자재납품업체선정 입찰공고,1,24
2025년 시흥경찰서어린이집 식자재 납품업체선정 입찰공고,1,24
안양동안경찰서어린이집 2025년 식자재 납품업체 선정 ,1,24
서울경찰청어린이집 2025년 식자재 납품업체 선정,1,24
대전동부경찰서어린이집 2025년 식자재 납품업체 선정(20250114 변경 최종),1,24
중랑경찰서어린이집 2025년 식자재납품업체 선정,1,24
2025년 수서경찰서어린이집 식자재납품업체 선정,1,24
익산경찰서어린이집 2025년 식자재 납품업체 선정,1,24
2025년 미추홀경찰서어린이집 식자재 납품 업체 선정,1,24
영등포경찰서어린이집  2025년 식자재납품업체 선정,1,24
2025년 파주경찰서 어린이집 식자재 납품업체 선정 입찰 공고 ,1,24
아산경찰서어린이집 2025년 식자재 납품업체 선정,1,24
2025년 청주흥덕경찰서어린이집 식자재  공급업체 선정 공고,1,24
대구성서경찰서어린이집 2025년 식자재 납품업체 선정 입찰공고,1,24
2025년 대구동부경찰서어린이집 식사재납품 업체선정 입찰공고,1,24
부산북부경찰서어린이집 2025년 식자재 납품업체 선정 입찰공고,1,24
2025년 경기북부경찰청 어린이집 식자재 업체 선정 입찰 공고,1,24
전북경찰청어린이집 식자재 납품업체선정 입찰공고,1,24
대전유성경찰서어린이집 2025년 식자재납품업체 선정입찰공고,1,24
대전경찰청어린이집 2025년 식자재 납품업체 선정 입찰공고,1,24
세종남부경찰서어린이집 2025년 식자재 납품업체 선정,1,24
수원중부경찰서어린이집 식자재 납품업체 선정공고,1,24
구미경찰서어린이집 2025학년도 식자재납품업체 선정 입찰공고,1,24
2025년 울산중부경찰서어린이집 식자재 납품업체 선정 입찰 공고,1,24
2025년 대구경찰어린이집 식자재 납품업체 선청 입찰 공고,2,9
대구서부경찰서어린이집 2025년 식자재 납품업체 선정 입찰공고,2,9
천안서북경찰서어린이집 2025학년도 식자재납품 입찰업체 선정공고,2,9
경남경찰청 어린이집 2025학년도 식자재납품 업체선정 입찰공고,2,9
2025년 오산경찰서어린이집 식자재 납품업체 선정 입찰 공고,2,9
평택남부경찰서어린이집 2025년 식자재 납품업체 선정 입찰공고,2,9
2025년 광명경찰서어린이집 식자재 납품업체 선정 입찰공고,2,9
2025년 부천오정경찰서어린이집 식자재 납품업체 선정 입찰공고,2,9
2025년 경북경찰청어린이집 식자재  납품업체 선정 입찰 공고,2,9
서울도봉경찰서어린이집 2025년 식자재 납품업체 선정 입찰공고,2,9
2025년 인천중부경찰서어린이집 식자재납품업체 선정 입찰공고,2,9
2025년 인천경찰청어린이집식자재납품업체선정 입찰공고,2,9
2025년 분당경찰서어린이집 식자재 납품 업체 선정 입찰공고,2,9
2025년 김포경찰서어린이집 식자재납품업체선정 입찰공고,2,9
고양경찰서어린이집 2025년 식자재 납품업체 선정 입찰공고,2,9
2025년 속초경찰서 어린이집 식자재 업체 선정,2,9
포항남부경찰서어린이집 2025학년도 식자재납품 업체선정 입찰공고,2,9
2025년 서울금천경찰서 어린이집 식자재 납품업체선정 입찰공고,2,9
삼척경찰서어린이집 2025학년도 식자재 납품업체 선정 공고,2,9
2025년 충북경찰청어린이집 식자재공급업체 입찰 공고,2,9
2026년 급식재료 유제품 5종(중앙+요양),2,9
대구보훈병원 2026년 환자급식용 유제품 연간 단가계약,2,9
제3회 순직의무군경의 날 기념식 대행용역,1,69
2026년 국외거주 독립유공자 후손 초청행사 대행용역,1,69
제66주년 2.28민주운동 기념식 대행용역,1,69
제66주년 4.19혁명 기념식 대행용역,1,69
제71회 현충일 추념식 대행용역,1,69
제11회 서해수호의 날 기념식 대행용역,1,69
제66주년 3.8민주의거 기념식 대행용역,1,69
제66주년 3.15의거 기념식 대행용역,1,69
제107주년 대한민국임시정부수립 기념식 대행용역,1,69
[수의시담]대구보훈병원 급식재료(백미) 단가계약,1,24
2025년 부산보훈병원 급식재료(백미)연간 단가계약 수의시담,1,24
[긴급] 2025년 장례식장 식재료(농수축산물) 45종 구매,1,24
"[수의시담] 2025년 4분기 ~ 2026년 1분기 중앙보훈병원 급식재료 (농수축공,양곡) 276종 구매",1,24
"[수의시담] 2025년 4분기 ~ 2026년 1분기 서울요양병원 급식재료 (농수축공,양곡) 243종 구매",1,24
[수의시담] 2025년 4분기 ~ 2026년 1분기 장례식장 부대물품 양곡 1종 구매,1,24
2025년 부산보훈병원 급식재료(공산품) 연간 단가계약(긴급),1,19
2025년 부산보훈병원 급식재료(공산품) 연간 단가계약,1,19
2025년 10월 ~ 2026년 3월 쌀(백미) 단가계약,1,24
2025년 하반기 급식재료(농수축산물) 단가계약 전자 수의시담,1,24
2025년 10월 ~ 2026년 3월 김치(깍두기등 6종) 단가계약,1,24
[수의시담] 2025년 추석 명절 직원 기념품 60종 구매,1,19
[긴급] 2025년 4분기 ~ 2026년 1분기 급식재료 김치류 6종 구매,2,9
2025년 부산보훈병원 추석명절 직원선물 구입,1,19
[긴급]2025년 중앙보훈병원 및 서울요양병원 식기세척기용세제 등 11종 구매,1,19
"[수의시담] 대구보훈병원 2025년 급식재료(농수축산물, 공산품) 단가계약",2,9
2025년  광주보훈병원 우유 등 6종 연간 단가계약[긴급],2,9
제96주년 학생독립운동 기념식 대행용역,1,69
"[수의시담]2025년 3분기 서울요양병원 급식재료(농수축공,양곡) 230종",1,24
"[수의시담]2025년 3분기 중앙보훈병원 급식재료(농수축공,양곡) 272종",1,24
"[수의시담] 2025년 3분기 중앙 및 요양 급식재료(농수축공,양곡)",1,24
광복80주년 계기 패션콘텐츠 기획 및 이벤트 운영 대행 용역,1,69
2025년 부산보훈병원 유제품(우유등 3종) 연간 단가계약(긴급),1,24
국립이천호국원 디지털 홍보 컨텐츠 제작,2,75
광복80주년 계기 코리아 메모리얼 광복라이트 기획 및 운영 용역,1,69
(긴급)국가보훈부88골프장 코스관리용 비료 단가계약,2,3
2025년 3분기 급식재료 김치류 6종(중앙+요양),1,24
2025년 국군모범용사 격려행사 대행용역,1,69
6.25전쟁 유엔군 참전의 날 기념식 대행 용역,1,69
[수의시담]2025년 장례식장 주류 참이슬 등 5종,2,20
[수의시담] 2025년 장례식장 편육 1종,1,24
2025년 제대군인 취·창업박람회 대행용역,1,69
2025년 제대군인 주간 대행용역,1,69
2025년 장례식장 주류 참이슬 등 5종,2,20
2025년 장례식장 떡류 절편 등 7종,1,24
2025년 장례식장 편육 1종,1,24
(긴급)국가보훈부88골프장 2025년 코스관리용 비료 단가계약,2,3
[긴급] 2025년 중앙보훈병원 장례식장 식자재(공산품) 23종 구매,1,24
2025년 중앙보훈병원 장례식장 음료류 구매,1,24
독립운동 주제 인터랙티브 콘텐츠 제작 및 체험부스 운영 용역,1,69
제2회 대한민국 보훈문화제 푸드 페스타 기획 및 운영 대행 용역,1,69
2025년도 국가유공자 및 보훈가족 초청 위로 행사,1,69
2025년 국제보훈컨퍼런스 사업 대행 용역,1,69
국립대한민국임시정부기념관 2025년 국외교류전시 연출용역,1,69
대전보훈병원 2025년(4월~9월) 쌀 구입,1,19
"2025년 인천보훈병원 급식재료(농·수·축산물, 공산품) 단가계약(수의시담)",1,19
대전보훈병원 2025년(4월~9월) 김치류(깍두기 등 7종) 구매,1,19
2025년 유엔참전국 교류캠프 대행 용역,1,69
2025년도 민간단체 주관 보훈기념행사 컨설팅 대행 용역,1,69
"[수의시담] 2025년 1분기 중앙보훈병원 급식재료(농수축공,양곡) 270종",1,19
"[수의시담] 2025년 1분기 서울요양병원 급식재료(농수축공,양곡) 220종",1,19
2025년 상반기 급식재료(농수축산물) 단가계약 전자 수의시담,1,19
2025년 국립서울현충원 음악회 행사대행용역,1,69
[긴급] 2025년 2~3분기 중앙보훈병원 장례식장 물품(농수축산물) 구매,1,19
2025년도 국립대한민국임시정부기념관 학술회의 운영 대행 ,1,69
광복80주년?광복군 창설 85주년 기념 프로그램 개발 및 운영 용역,1,69
"2025년 인천보훈병원 급식재료(농·수·축산물, 공산품) 단가계약",1,19
광복80주년 계기 불빛공연(드론 라이트 쇼) 행사 대행 용역,1,69
제2회 대한민국보훈문화제 공연 기획 및 운영 대행 용역,1,69
2025년 2분기 급식재료 김치류 6종(중앙+요양),1,19
2025년도 히어로즈 패밀리 프로그램 운영 대행 용역,1,69
2025년 대구보훈병원 국비 일용품세트 연간 단가계약,1,19
"노인생활지원용품(위생,편의용품) 구매",1,19
성인용 기저귀 구매,1,19
"2025년 인천보훈병원 급식재료(농·수·축산물, 공산품) 연간 단가계약",1,19
국립전통예술고등학교 2026년 3 ~  7월 조식 위탁급식(벌크식) 납품업체 선정,2,9
2026학년도 1학기 국립국악중·고등학교 기숙사 아침·저녁 위탁급식(벌크식)  납품업체 선정,2,9
국립국악고등학교 2025년 12월 ~ 2026년 2월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 12월 ~ 2026년 2월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 12월 ~ 2026년 2월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 12월 ~ 2026년 2월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 12월 ~ 2026년 2월 급식물품 구매(농산물),2,9
2026년 KTV 화면해설방송 제작 용역,2,75
문체부 유튜브 등 영상 콘텐츠 제작,2,75
2026년 기획 쇼츠 영상 제작,2,75
2026년 대한민국정부 유튜브 콘텐츠 제작,2,75
옛 전남도청 개관 기념 기증전 전시영상 제작 및 설치 용역,2,75
2026년 정부대표 누리소통망 콘텐츠 제작 및 운영,2,75
2026년 대한민국정부 디지털콘텐츠 수어통역 영상 제작,2,75
2026년 대한민국정부 디지털콘텐츠 화면해설 영상 제작,2,75
2026년 정책간행물 디지털 콘텐츠 확산,2,75
2026 국악누리 제작,2,75
2026년 정책브리핑 콘텐츠 제작·운영 및 확산사업,2,75
박물관 교육 영상제작 및 스튜디오 운영·관리 용역,2,75
국립국악고등학교 2025년 11월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 11월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 11월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 11월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 11월 급식물품 구매(농산물),2,9
한국예술종합학교 구내식당 주부식 구입(25.11.~26.02.),1,24
국립국악고등학교 2025년 10월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 10월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 10월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 10월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 10월 급식물품 구매(농산물),2,9
국립국악고등학교 2025년 9월 급식물품 구매(김치류),1,19
국립국악고등학교 2025년 9월 급식물품 구매(공산품),1,19
국립국악고등학교 2025년 9월 급식물품 구매(수산물),1,19
국립국악고등학교 2025년 9월 급식물품 구매(축산물),1,19
국립국악고등학교 2025년 9월 급식물품 구매(농산물),1,19
"2025년도 2학기 국립국악중·고등학교 기숙사 아침, 저녁 위탁급식(벌크식) 납품업체 선정",2,9
국립전통예술고등학교 2025년 8월 ~ 2026년 2월 조식 위탁급식(벌크식) 납품업체 선정,2,9
"국립국악고등학교 2025년 7,8월 급식물품 구매(김치류)",2,9
"국립국악고등학교 2025년 7,8월 급식물품 구매(공산품)",2,9
"국립국악고등학교 2025년 7,8월 급식물품 구매(수산물)",2,9
"국립국악고등학교 2025년 7,8월 급식물품 구매(축산물)",2,9
"국립국악고등학교 2025년 7,8월 급식물품 구매(농산물)",2,9
한국예술종합학교 구내식당 주부식 구입(25.7.~25.10.),1,19
국립국악고등학교 2025년 6월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 6월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 6월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 6월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 6월 급식물품 구매(농산물),2,9
국립국악고등학교 2025년 5월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 5월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 5월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 5월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 5월 급식물품 구매(농산물),2,9
광복 80년 기념 문화예술 전야제 행사 대행 용역,1,69
2025년 청년세대 참여형 마케팅,1,56
2025년 대한민국역사박물관 온라인 홍보 운영 용역,1,56
국악의 날 기념공연 세종조 회례연 행사대행 용역,1,69
국립국악고등학교 2025년 4월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 4월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 4월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 4월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 4월 급식물품 구매(농산물),2,9
2025년 박물관·미술관 박람회 개최 용역,1,69
2025 ACC 거장전 료지 이케다 전시 홍보 대행 용역,1,56
국립국악고등학교 2025년 3월 급식물품 구매(김치류),2,9
국립국악고등학교 2025년 3월 급식물품 구매(공산품),2,9
국립국악고등학교 2025년 3월 급식물품 구매(축산물),2,9
국립국악고등학교 2025년 3월 급식물품 구매(수산물),2,9
국립국악고등학교 2025년 3월 급식물품 구매(농산물),2,9
2025년도 1학기 국립국악중·고등학교 기숙사 아침·저녁 위탁급식(벌크식) 납품업체 선정,2,9
한국예술종합학교 구내식당 주부식 구입(25.3.~25.6.),1,19
국립전통예술고등학교 2025년 3~7월 조식 위탁급식(벌크식) 납품업체 선정,2,9
국가유산 디지털헤리티지 전략 및 성과 홍보영상 제작,2,75
신라문화권 유적 출토 말 관련 성과 공개회 전시 연출 및 보조물 제작 설치,1,69
국외교류전 개막행사 대행 및 외빈 수행 용역,1,69
(전시) 국외왕실문화특별전 전시장 운영 및 관리,1,69
2025년 국외교류전 온라인 전시 콘텐츠 제작 용역,2,75
(전시) 국외왕실문화특별전 언론공개회 및 개막행사 대행,1,69
"(유물-보존4) 2025년 특별전 REBORN, 시간을 잇는 보존과학 개막행사 대행 용역",1,69
"2025년 국립고궁박물관 특별전 REBORN, 시간을 잇는 보존과학 전시장 운영 및 관리 용역",1,69
한국전통문화대학교 그래픽디자인(UI) 수정·보완제작 용역,2,76
2026년도 「국가유산사랑」 웹진(e-book) 제작,2,75
2025년도 제철기술 복원실험 기록영상 제작 용역,2,75
2025년 국립무형유산원 다시락 미디어 페스티벌 운영 대행 용역,1,69
국립고궁박물관 온라인 홍보 대행 용역,1,56
이코모스 아시아 태평양 지역회의 개최 용역,1,69
국립고궁박물관 개관 20주년 홍보 영상 제작,1,75
자연유산 동영상 제작,1,75
고도육성법 20주년 기념 홍보영상 제작,1,75
"2025학년도 학생식당 식자재 구매(1,2학기)",1,24
2025년 국립무형유산원 영상기록물 제작 용역,1,75
2025 유네스코 인류무형유산 국외 초청공연 및 부대행사 운영 대행 용역,1,69
제2회 대한민국 전통조경대전 운영,1,69
 2025년 국립문화유산연구원 홍보대행 용역,1,56
2026.1분기 구내식당 농산물(지역농산물) 구매 계약,1,24
2026.1분기 구내식당 축산물(지역농산물) 구매 계약,1,24
2026.1분기 구내식당 주곡류(지역농산물) 구매 계약,1,24
2026.1분기 구내식당 김치류(지역농산물) 구매 계약,1,24
2026.1분기 구내식당 수산물 구매 계약,1,24
2025년산 벼·두류 보급종 공급용 포장재 조달 구입,1,46
"2025년 정부관리양곡 시도별(광주, 전북, 전남) 포장재(지대) 구매(2차)",1,46
"2025년 정부관리양곡 시도별(부산,대구,경북,경남) 포장재(지대) 구매(2차)",1,46
"2025년 정부관리양곡 시도별(세종,충북,충남) 포장재(지대) 구매(2차)",1,46
"2025년 정부관리양곡 시도별(인천,경기,강원) 포장재(지대) 구매(2차)",1,46
2025년 4분기 구내식당 농산물(지역농산물) 구매 계약 ,1,19
2025년 4분기 구내식당 축산물(지역농산물) 구매 계약,1,19
2025년 4분기 주곡류(지역농산물) 구매 계약,1,19
2025년 4분기 구내식당 김치류(지역농산물) 구매 계약,1,19
2025년 4분기 구내식당 공산품 구매 계약,1,19
2025년 4분기 구내식당 수산물 구매 계약,1,19
"2025년 정부관리양곡 포장재(대형포대, p.p) 구매(2차)",1,46
"2025년 정부관리양곡 포장재(소형, p.p) 구매(2차)",1,46
2025년 농관원 통합홍보관 설치·운영 사업,1,69
2025년산 맥류 보급종 소독약제 구입,2,3
2025년 한가위 명절선물전 지리적표시 홍보관 운영 사업,1,69
2025년 3분기 구내식당 농산물(지역농산물) 구매계약 ,1,24
2025년 3분기 구내식당 축산물(지역농산물) 구매계약,1,24
2025년 3분기 구내식당 주곡류(지역농산물) 구매계약 ,1,24
2025년 3분기 구내식당 김치류(지역농산물) 구매계약,1,24
2025년 3분기 구내식당 공산품 구매계약,1,19
2025년 3분기 구내식당 수산물 구매계약,1,24
2025년 지리적표시품 온라인 플랫폼 판매지원 용역,1,41
2025년 맥류 보급종 공급용 포장재 구입,1,46
2025년 아동대상 지리적표시 교육 사업,2,71
제4차 한중일 농업장관회의 행사운영,1,69
정부관리양곡 자동차운송 등 5개 분야 일괄 계약,1,40
"2025년 해외현지 품종전시포(공동전시포, 중국 신장·허베이·윈난) 조성·운영 용역",2,3
"2025년 해외현지 품종전시포(공동전시포, 미국·멕시코) 조성·운영 용역",2,3
"2025년 해외현지 품종전시포(공동전시포, 인도·베트남) 조성·운영 용역",2,3
2025년 호주 식품박람회 K-seed관 부스설치·운영 용역,1,69
2025년 네덜란드 화훼무역박람회 K-seed관 부스설치·운영 용역,1,69
"2025년 해외현지 품종전시포(공동전시포, 튀르키예) 조성·운영 용역",2,3
2025.2분기 구내식당 김치류(지역농산물) 구매 계약,1,19
2025.2분기 구내식당 주곡류(지역농산물) 구매 계약,1,19
2025.2분기 구내식당 축산물(지역농산물) 구매 계약,1,19
2025.2분기 구내식당 농산물(지역농산물) 구매 계약 ,1,19
2025.2분기 구내식당 공산품 구매 계약,1,19
2025.2분기 구내식당 수산물 구매 계약,1,19
2025년도 정부관리양곡 포장재(소형포대) 구매(1차),1,46
2025년 정부관리양곡 포장재(대형포대) 구매(1차),1,46
"2025년 정부관리양곡 시도별(광주,전북,전남) 포장재(지대, 1차) 구매",1,46
"2025년 정부관리양곡 시도별(인천,경기,강원) 포장재(지대) 구매(1차)",1,46
"2025년 정부관리양곡 시도별(세종,충북,충남) 포장재(지대) 구매(1차)",1,46
"2025년 정부관리양곡 시도별(부산,대구,경북,경남) 포장재(지대) 구매(1차)",1,46
농기계임대사업소 분소(도천) 임대농기계 운반화물택배 용역,2,35
농기계임대사업소 본소(대지) 임대농기계 운반화물택배 용역,2,35
2026년 상반기 경상남도농업기술원 구내식당 급식재료 구입 ,1,19
2025년 TMR사료 원재료 및 배합사료 육상운송 용역(2차)(2인이상 견적제출)(수정),2,34
2025년 TMR사료 원재료 및 배합사료 육상운송 용역(2차)(2인이상 견적제출),2,34
2026년 농업기계 임대장비 운송 용역,2,32
제10회 창원농업인 한마음대회 행사용역,1,69
2026태안국제원예치유박람회 치유농업2관 조성사업 대행용역,1,69
2026 태안국제원예치유박람회 ‘치유농업1관’ 조성사업 대행용역,1,69
2025년 TMR사료 원재료 및 배합사료 해상운송 용역(2차)(2인이상 견적제출),2,32
2026년도 거창군 먹거리통합지원센터 공공급식 식재료 배송용역,2,9
2026년 농촌진흥청 온라인 홍보 위탁 운영,1,56
창원단감 지리적표시 등록기념 홍보행사 용역,1,69
2025 농업과학기술 성과공유대회 대행 용역,1,69
2025년 대한민국 정부혁신 박람회 전시 용역,1,69
제30회 농업인의 날 국가기념 행사 및 부대행사 공연 계약,1,69
제5회 창원 반려동물 문화축제 행사용역,1,69
2025년 제13회 서울 농업인 한마음 대회 전시 및 장식 용역,1,69
2025년 농업자원 활용 컨텐츠 제작,2,75
「춘천시 농부의 장터×막닭축제」행사기획 및 운영용역,1,69
2025년 원주삼토페스티벌 행사 대행 용역(협상에의한계약),1,69
2025년 서울 브랜드농산물 육성을 위한 포장재(과수) 제작 구매,1,46
2025년 서울브랜드 농산물 육성 지원사업 벼 포장재 제작,1,46
2025 대한민국 농업박람회 전시 용역,1,69
2025년 산엔청 공동브랜드 포장박스 제작(입찰대행),1,46
농산물 가공제품 이력제 추진에 따른 내포장재(본점) 제작[수의시담],1,46
농산물 가공제품 이력제 추진에 따른 내포장재(본점) 제작,1,46
2025년 공공비축미용 PP포대(800kg) 구입,1,46
2025 A Farm Show 창농·귀농 고향사랑 농업박람회 전시 용역,1,69
소액용역 견적제출 안내공고_제19회 거제섬꽃축제 행사 기획운영 용역,1,69
2025년 하반기 경상남도농업기술원 구내식당 급식재료 구입,1,24
물품구매 소액수의 견적제출 안내 공고(소비트렌드 맞춤형 칼라수박단지 육성시범 포장박스 제작),1,46
물품 수의계약 견적제출 안내 공고[소비트렌드 맞춤형 칼라수박단지 육성시범사업 포장박스제작 (입찰대행)],1,46
「2025년 춘천시 농부의 장터(아파트단지 편)」행사기획 및 운영용역,1,69
[입찰대행] 제18회 한국후계농업경영인 강원도대회 행사기획 및 운영 용역,1,69
(협상)경상북도 늘봄학교 연계 농업농촌체험 프로그램 개발 용역,2,18
제18회 경상북도후계농업경영인대회 시설물 설치 및 행사 대행 용역(민간입찰대행),1,69
농심 함양 프로젝트 및 성과공유대회 운영 용역,1,69
2025년 서울 국제정원박람회 반려식물병원 부스운영 용역,1,69
2025년 TMR 사료 원재료 및 배합사료 해상운송 용역,2,34
제16회 향수옥천 포도·복숭아축제 행사대행 용역(수의시담),1,69
2025년 안산 대부포도축제 행사 대행 용역(민간입찰대행),1,69
「2025년 제2회 춘천 복숭아 페스티벌」행사기획 및 운영 용역,1,69
「제3회 화성시 도농 어울림 축제」대행 용역,1,69
제23회 창원 전국민속 소힘겨루기대회 경기장 등 임차 용역,1,69
창녕군 농산물 가공품 및 포장디자인 개발 용역(협상에 의한 계약),2,76
(입찰대행)2025년 오미자원료 안정공급 모델화 구축 사업 오미자 과원 신규조성 물품구입(긴급),2,16
(입찰대행)신소득작목 송향버섯 연중재배 시범사업(버섯재배사 신축공사),2,16
2025년 사계절 엽채류 양액재배단지 조성사업(입찰대행),2,16
스마트농업지원센터 딸기육묘장 비닐피복 교체공사,2,16
[입찰대행]식량작물 신품종 종자생산 기반단지 조성 시범사업 물품구입(이식기),2,3
[입찰대행]2025년 식량작물 신품종 종자 생산 기반단지 조성 시범사업 물품 구입,2,3
딸기 수경재배 온실 포그시스템 구축공사,2,16
성곡 친환경농업단지 친환경농자재(토양개량 및 작물생육용) 구입(민간대행),2,14
부곡 친환경농업단지 친환경농자재(토양개량 및 작물생육용)구입(민간대행),2,14
"2025년 농특산물 유통포장재 지원사업(블루베리-용기, 종이박스)",1,46
