공고명,사업요약
국도19호선 구례 파도지구 위험도로 개선공사 폐기물(폐콘크리트)처리용역,국도19호선 구례 파도지구 위험도로 개선공사 폐기물처리
국도19호선 남원 산동 마을주민 보호구간 등 2개소 개선사업,국도19호선 남원 산동 마을주민 보호구간 개선
국도19호선 남원 산동 식련지구 위험도로 개선공사 임목폐기물처리용역,국도19호선 남원 산동 식련지구 위험도로 개선공사 임목
국도19호선 남원 산동 식련지구 위험도로 개선공사 폐기물처리용역,국도19호선 남원 산동 식련지구 위험도로 개선공사 폐기
국도19호선 남원 이백 척문 등 도로환경 개선공사 폐기물처리용역,국도19호선 남원 이백 척문 등 도로환경 개선공사 폐기
국도19호선 남원 주천 배덕 등 소구조물 정비공사 폐기물처리용역,국도19호선 남원 주천 배덕 등 소구조물 정비공사 폐기
국도19호선 남원 주천 호기 등 도로환경 개선공사 폐기물처리용역,국도19호선 남원 주천 호기 등 도로환경 개선공사 폐기
국도19호선 남해 차산지구 교차로 개선공사 폐기물처리용역,국도19호선 남해 차산지구 교차로 개선공사 폐기물처리
국도19호선 느릅재터널 등 6개소 건설엔지니어링 사업(정밀안전점검),국도19호선 느릅재터널 등 6개소 건설엔지니어링 사업
국도19호선 느릅재터널 등 7개소 건설엔지니어링 사업(정기하자점검),국도19호선 느릅재터널 등 7개소 건설엔지니어링 사업
국도19호선 등 무주출장소 관내 시설물 보수공사 실시설계용역,국도19호선 등 무주출장소 관내 시설물 보수공사 실시설
국도19호선 매지1교(상) 등 10개 시설물 내진성능평가용역,국도19호선 매지1교 등 10개 시설물 내진성능평가
국도19호선 매지2교(상) 등 2개 교량 정밀안전진단 및 성능평가 용역,국도19호선 매지2교 등 2개 교량 정밀안전진단·성능평
국도19호선 무주 가림지하차도 등 3개소 시설물 보수공사,국도19호선 무주 가림지하차도 시설물 보수공사
국도19호선 무주 가옥교차로 등 도로유지 보수공사 폐기물처리용역,국도19호선 무주 가옥교차로 등 도로유지 보수공사 폐기
국도19호선 무주 구억교 교면포장 보수공사 폐기물처리용역,국도19호선 무주 구억교 교면포장 보수공사 폐기물처리
국도19호선 무주 무주 당산 ~ 무주 적상 사천 차선도색공사,국도19호선 무주 무주 당산 ~ 무주 적상 사천 차선도
국도19호선 무주 무주 당산 절토사면 등 13개소 정밀안전점검용역,국도19호선 무주 무주 당산 절토사면 정밀안전점검
국도19호선 무주 안성 죽천교차로 개선공사 등 2개소 실시설계용역,국도19호선 무주 안성 죽천교차로 개선공사 실시설계
국도19호선 무주 적상 사산 ~ 진안 진안 운산 차선도색공사,국도19호선 무주 적상 사산 ~ 진안 진안 운산 차선도
국도19호선 무주 적상 사산지구(1) 위험도로 개선공사 폐기물처리용역,국도19호선 무주 적상 사산지구 위험도로 개선공사 폐기
국도19호선 무주 적상IC2교 등 2개교 시설물 보수공사,국도19호선 무주 적상IC2교 시설물 보수공사
국도19호선 무주 적상산터널(상) 등 2개소 시설물 보수공사,국도19호선 무주 적상산터널 등 2개소 시설물 보수공사
국도19호선 봉계터널 등 6개소 터널운영(위탁) 관리용역,국도19호선 봉계터널 등 6개소 터널운영(위탁) 관리
국도19호선 봉계터널(상) 등 4개소 건설엔지니어링 사업(정밀안전점검),국도19호선 봉계터널 등 4개소 건설엔지니어링 사업
국도19호선 사암교차로 교통사고 잦은곳 개선공사 폐기물처리용역 ,국도19호선 사암교차로 교통사고 잦은곳 개선공사 폐기물
국도19호선 상이목교(상) 등 4개교 정밀안전점검 및 내진성능평가용역,국도19호선 상이목교 정밀안전점검·내진성능평가
국도19호선 성골제1교 개축공사 건설엔지니어링 사업(실시설계),국도19호선 성골제1교 개축공사 건설엔지니어링 사업
국도19호선 소태육교(상) 등 30개소 건설엔지니어링 사업(정기안전점검),국도19호선 소태육교 등 30개소 건설엔지니어링 사업
국도19호선 싸리재교A2~싸리재터널A1 등 8개소 포장도 보수공사,국도19호선 싸리재교A2~싸리재터널A1 포장도 보수공사
국도19호선 싸리재교A2~싸리재터널A1 등 8개소 포장도 보수공사 폐기물처리용역,국도19호선 싸리재교A2~싸리재터널A1 포장도 보수공사
국도19호선 싸리재지하차도 등 3개소 포장보수공사 폐기물처리용역,국도19호선 싸리재지하차도 포장보수공사 폐기물처리
국도19호선 악양교 등 9개소 건설엔지니어링 사업(정밀안전점검 및 성능평가),국도19호선 악양교 등 9개소 건설엔지니어링 사업
"국도19호선 원주 흥업 교차로 개선공사(1차), 개질아스팔트","국도19호선 원주 흥업 교차로 개선공사, 개질아스팔트"
국도19호선 원주 흥업 흥업 222 등 4개소 도로정비공사 폐기물처리용역,국도19호선 원주 흥업 흥업 222 도로정비공사 폐기물
국도19호선 장계2교 등 7개교 정기안전점검 및 내진성능평가용역,국도19호선 장계2교 정기안전점검·내진성능평가
국도19호선 장수 계북 어전마을 등 2개소 마을주민 보호구간 개선공사,국도19호선 장수 계북 어전마을 마을주민 보호구간 개선
"국도19호선 장수 금덕(집재) 졸음쉼터(상, 하) 청소용역","국도19호선 장수 금덕(집재) 졸음쉼터(상, 하) 청소"
국도19호선 장수 번암 죽산 등 3개소 배수시설 개선공사,국도19호선 장수 번암 죽산 배수시설 개선공사
국도19호선 장수 번암 죽산 등 3개소 배수시설 개선공사 폐기물처리용역,국도19호선 장수 번암 죽산 배수시설 개선공사 폐기물처
국도19호선 장수 원촌교 등 3개교 교면포장 보수공사 폐기물처리용역,국도19호선 장수 원촌교 교면포장 보수공사 폐기물처리
국도19호선 장수 장계 등 도로유지 보수공사 폐기물처리용역,국도19호선 장수 장계 등 도로유지 보수공사 폐기물처리
국도19호선 장수 장수 선창 절토사면 등 18개소 정밀안전점검 및 성능평가용역,국도19호선 장수 장수 선창 절토사면 정밀안전점검·성능
국도19호선 장수육교 등 8개교 정기안전점검 및 내진성능평가용역,국도19호선 장수육교 정기안전점검·내진성능평가
국도19호선 충주 사암리 등 7개소 도로포장 보수공사 폐기물처리용역,국도19호선 충주 사암리 도로포장 보수공사 폐기물처리
국도19호선 충주 소태 주치 절토사면 등 15개소 건설엔지니어링 사업(정밀안전점검 및 성능평가),국도19호선 충주 소태 주치 절토사면 건설엔지니어링 사
국도19호선 충주 오석리 등 9개소 도로포장 보수공사 폐기물처리용역,국도19호선 충주 오석리 도로포장 보수공사 폐기물처리
국도19호선 충주 창동 3지구 절토사면 낙석산사태 정비공사,국도19호선 충주 창동 3지구 절토사면 낙석산사태 정비
국도19호선 충주 창동 4지구 절토사면 낙석산사태 위험지구 정비공사,국도19호선 충주 창동 4지구 절토사면 낙석산사태 위험
"국도19호선 충주,사암교차로~풍동교차로 차선도색 정비공사","국도19호선 충주,사암교차로~풍동교차로 차선도색 정비공"
국도19호선 하동 목도지구 교차로 개선공사 폐기물처리용역,국도19호선 하동 목도지구 교차로 개선공사 폐기물처리
국도19호선 하동 목도지구 등 2개소 도로시설 정비공사 폐기물처리용역,국도19호선 하동 목도지구 도로시설 정비공사 폐기물처리
국도19호선 화음교 등 8개교 정기안전점검 및 내진성능평가용역,국도19호선 화음교 등 8개교 정기안전점검·내진성능평가
국도19호선 횡천교 등 12개소 건설엔지니어링사업(정밀안전진단 및 성능평가),국도19호선 횡천교 등 12개소 건설엔지니어링사업
국도1호선 24DN01D13600 등 11개소 정밀안전점검 및 성능평가용역,국도1호선 24DN01D13600 정밀안전점검·성능평가
국도1호선 나주 광이IC교 등 2개소 교면포장 보수공사 폐기물처리용역(시),국도1호선 나주 광이IC교 교면포장 보수공사 폐기물처리
국도1호선 나주 남평대교(상) 등 11개소 시설물 보수공사,국도1호선 나주 남평대교 등 11개소 시설물 보수공사
국도1호선 나주 등정지구 등 14개소 포장도 보수공사 폐기물처리용역,국도1호선 나주 등정지구 포장도 보수공사 폐기물처리
국도1호선 나주 등정지구 등 14개소 포장도 보수공사_개질아스콘,국도1호선 나주 등정지구 포장도 보수공사_개질아스콘
국도1호선 나주 신천지구 등 4개소 포장도 보수공사 폐기물처리용역,국도1호선 나주 신천지구 포장도 보수공사 폐기물처리
국도1호선 나주 장산지구 등 8개소 절토사면 정밀안전점검 및 성능평가용역,국도1호선 나주 장산지구 절토사면 정밀안전점검·성능평가
국도1호선 마산2교(상) 등 2개소 2종·내진성능평가용역,국도1호선 마산2교(상) 등 2개소 2종·내진성능평가
국도1호선 만경강교(상) 등 3개교 정밀·정기안전점검용역,국도1호선 만경강교(상) 등 3개교 정밀·정기안전점검
국도1호선 무안 고절교(상) 등 2개소 교면포장 보수공사,국도1호선 무안 고절교 등 2개소 교면포장 보수공사
국도1호선 무안 고절교(상) 등 2개소 교면포장 보수공사 폐기물처리용역,국도1호선 무안 고절교 교면포장 보수공사 폐기물처리
국도1호선 무안 고절지구 등 5개소 포장도 보수공사 폐기물처리용역,국도1호선 무안 고절지구 포장도 보수공사 폐기물처리
국도1호선 무안 교촌지구 등 3개소 배수시설 정비공사 폐기물처리용역,국도1호선 무안 교촌지구 배수시설 정비공사 폐기물처리
국도1호선 무안 도림지구 등 3개소 포장도 보수공사 폐기물처리용역,국도1호선 무안 도림지구 포장도 보수공사 폐기물처리
국도1호선 무안 신흥삼거리 ~ 함평 학야교 등 5개소 차선도색공사,국도1호선 무안 신흥삼거리 ~ 함평 학야교 차선도색공사
국도1호선 무안 유교지구 등 4개소 포장도 보수공사 폐기물처리용역,국도1호선 무안 유교지구 포장도 보수공사 폐기물처리
국도1호선 무안 평용지구 등 7개소 절토사면 정밀안전점검 및 성능평가용역,국도1호선 무안 평용지구 절토사면 정밀안전점검·성능평가
국도1호선 봉곡교차로 병목지점 개선공사 건설폐기물 처리용역,국도1호선 봉곡교차로 병목지점 개선공사 건설폐기물 처리
국도1호선 성환(상) 과적검문소 등 4개소 정비공사 폐기물처리용역,국도1호선 성환 과적검문소 정비공사 폐기물처리
국도1호선 솥튼터널(상) 등 5개소 정밀·정기안전점검용역,국도1호선 솥튼터널(상) 등 5개소 정밀·정기안전점검
국도1호선 솥튼터널A2+1.402~솥튼터널A2+2.889 등 2개소 포장도 보수공사,국도1호선 솥튼터널A2+1.402~솥튼터널A2+2.88
국도1호선 솥튼터널A2+1.402~솥튼터널A2+2.889 등 2개소 포장도 보수공사 폐기물처리용역,국도1호선 솥튼터널A2+1.402~솥튼터널A2+2.88
"국도1호선 안성천교 등 2개교 내진보강공사(받침교체, 교량인상)",국도1호선 안성천교 등 2개교 내진보강공사
국도1호선 양안지하차도 등 7개소 수해복구공사 폐기물처리 용역,국도1호선 양안지하차도 수해복구공사 폐기물처리
국도1호선 오성교(상) 등 2개교 정밀안전진단 및 1종성능평가용역,국도1호선 오성교 등 2개교 정밀안전진단·1종성능평가
국도1호선 오성교A2~용호교A1 등 7개소 포장도 보수공사,국도1호선 오성교A2~용호교A1 포장도 보수공사
국도1호선 오성교A2~용호교A1 등 7개소 포장도 보수공사 폐기물처리용역,국도1호선 오성교 등 7개소 포장 보수 폐기물처리
국도1호선 완주 갈산교차로 병목지점 개선공사 지정폐기물처리(폐석면) 운반처리용역,국도1호선 완주 갈산교차로 폐석면 운반처리
국도1호선 완주 등 9개 시군 도로유지 보수공사 폐기물처리용역,국도1호선 완주 등 9개 시군 도로 보수 폐기물처리
국도1호선 완주 이서1육교 A1~상관IC교 A2 등 도로안전시설 정비공사,국도1호선 완주 이서1육교 등 도로안전시설 정비
국도1호선 익산 왕궁 제설창고 등 설해대비 시설물 보수공사,국도1호선 익산 왕궁 제설창고 등 설해대비 보수
국도1호선 익산 왕궁교 등 내진보강 및 과적검문소 정비공사 실시설계용역,국도1호선 익산 왕궁교 등 내진보강·검문소 정비설계
국도1호선 익산 천마육교 등 4개교 교면포장 보수공사 폐기물처리용역,국도1호선 익산 천마육교 등 4개교 교면포장 폐기물처리
국도1호선 익산~왕궁 쌍정교차로 병목지점 개선공사(전기공사),국도1호선 익산~왕궁 쌍정교차로 개선(전기)
국도1호선 장성 단광지구 등 9개소 포장도 보수공사 폐기물처리용역,국도1호선 장성 단광 등 9개소 포장 폐기물처리
국도1호선 장성 단광지구 등 9개소 포장도 보수공사_개질아스콘,국도1호선 장성 단광 등 9개소 포장 개질아스콘
국도1호선 장성 못재터널(상) 등 11개소 시설물 위탁관리용역,국도1호선 장성 못재터널 등 11개소 위탁관리
국도1호선 장성 북하 용두 용두터널 등 5개소 시설물 보수공사,국도1호선 장성 용두터널 등 5개소 시설물 보수
국도1호선 장성 송광교 등 34개소 정기안전(하자)점검용역,국도1호선 장성 송광교 등 34개소 정기안전점검
국도1호선 장성 쌍웅지구 등 11개소 포장도 보수공사 폐기물처리용역,국도1호선 장성 쌍웅 등 11개소 포장 폐기물처리
국도1호선 장성 영천지구 등 10개소 절토사면 정밀안전점검 및 성능평가용역,국도1호선 장성 영천 등 10개소 절토사면 안전점검
"국도1호선 장성 오현교(상) 등 13개소 정밀안전점검용역(성능평가, 내진성능평가 포함)",국도1호선 장성 오현교 등 13개소 정밀안전점검
국도1호선 장성 오현교(상) 등 31개소 정기안전점검용역,국도1호선 장성 오현교 등 31개소 정기안전점검
국도1호선 장성 용두터널(상) 등 4개소 시설물 보수공사,국도1호선 장성 용두터널 등 4개소 시설물 보수
국도1호선 장성 장사1교(하) 등 7개소 시설물 보수공사,국도1호선 장성 장사1교 등 7개소 시설물 보수
국도1호선 장성 조산천교(상) 등 8개소 시설물 보수공사,국도1호선 장성 조산천교 등 8개소 시설물 보수
국도1호선 장성 호남제2터널 등 4개소 방재시설 보수공사,국도1호선 장성 호남제2터널 등 4개소 방재시설 보수
국도1호선 전주 완산 쑥고개교차로 병목지점 개선공사 정기안전점검용역,국도1호선 전주 쑥고개교차로 개선 정기안전점검
국도1호선 조천3교 등 6개소 정밀안전점검 및 내진성능평가,국도1호선 조천3교 등 6개소 정밀점검·내진평가
국도1호선 천안 성거 신월리 등 3개소 부체도로 등 정비공사,국도1호선 천안 성거 신월리 등 3개소 부체도로 정비
국도1호선 천안 성거 신월리 등 3개소 부체도로 등 정비공사 폐기물처리용역,국도1호선 천안 신월리 등 부체도로 정비 폐기물처리
국도1호선 천안 수헐교차로 등 3개소 도로포장 보수공사 건설폐기물처리용역,국도1호선 천안 수헐교차로 등 3개소 포장 폐기물처리
국도1호선 파주 군내 점원 외 6개소 도로구조 개선공사 건설폐기물처리용역,국도1호선 파주 군내 점원 외 6개소 도로구조 개선
국도1호선 파주 봉암교A2~연풍육교A1 등 5개소 포장도 보수공사,국도1호선 파주 봉암교 등 5개소 포장 보수
국도1호선 파주 봉암교A2~연풍육교A1 등 5개소 포장도 보수공사 건설폐기물처리용역,국도1호선 파주 봉암교 등 5개소 포장 폐기물처리
"국도1호선 함평 학교고가교 등 7개소 정밀안전점검용역(성능평가, 내진성능평가 포함)",국도1호선 함평 학교고가교 등 7개소 정밀안전점검
국도1호선 함평 학야지구 등 9개소 포장도 보수공사 폐기물처리용역,국도1호선 함평 학야 등 9개소 포장 폐기물처리
국도1호선 함평 학야지구 등 9개소 포장도 보수공사_개질아스콘,국도1호선 함평 학야 등 9개소 포장 개질아스콘
국도1호선 해전2교(상) 등 2개소 정밀·정기안전점검 및 2종성능평가용역,국도1호선 해전2교 등 2개소 안전점검·성능평가
"국도2,3,14,77호선 진주,사천,창원,고성권역 예초작업 용역",국도2·3·14·77호선 진주권역 예초작업
"국도2,3,19호선 남해~진주권역 포장도 보수공사 폐기물처리용역",국도2·3·19호선 남해~진주 포장 폐기물처리
"국도20,24,33호선 진주,의령,합천권역 예초작업 용역",국도20·24·33호선 진주권역 예초작업
국도20호선 각남교 등 6개소 정밀안전점검 건설엔지니어링 용역,국도20호선 각남교 등 6개소 정밀안전점검
국도20호선 경주 강동 왕신-천북 오야리 도로환경 정비공사,국도20호선 경주 강동 왕신~천북 도로환경 정비
"국도20호선 경주 건천 건천 도로비탈면, 옹벽 등 38개소 정밀 및 정기안전점검 건설엔지니어링",국도20호선 경주 건천 등 38개소 안전점검
국도20호선 경주 건천 송선 등 5개소 도로시설물 정비공사,국도20호선 경주 건천 송선 등 5개소 시설물 정비
국도20호선 경주 산내 외칠 등 3개소 포장도 보수공사 건설폐기물 운반용역,국도20호선 경주 산내 외칠 등 3개소 포장 폐기물운반
국도20호선 경주터널 등 23개소 방재설비 개선공사 실시설계 건설엔지니어링,국도20호선 경주터널 등 23개소 방재설비 개선설계
국도20호선 경주터널 등 8개소 방재(통신)설비 개선공사,국도20호선 경주터널 등 8개소 방재설비 개선
국도20호선 남천교 등 10개소 정기안전점검 건설엔지니어링,국도20호선 남천교 등 10개소 정기안전점검
국도20호선 도산교 등 8개소 시설물 보수공사 폐기물처리용역,국도20호선 도산교 등 8개소 시설물 보수 폐기물처리
국도20호선 법평교 등 6개소 건설엔지니어링 사업(정밀안전진단 및 성능평가),국도20호선 법평교 등 6개소 정밀안전진단·성능평가
국도20호선 봉두교 등 7개소 건설엔지니어링 사업(정밀안전진단 및 성능평가),국도20호선 봉두교 등 7개소 정밀안전진단·성능평가
국도20호선 산청 단성 창촌지구 외 1개소 수해응급복구공사,국도20호선 산청 단성 창촌 외 1개소 수해응급복구
국도20호선 산청 생비량 등 10개소 도로안전시설물 정비공사,국도20호선 산청 생비량 등 10개소 안전시설 정비
국도20호선 산청 시천-단성간 수해상습지역 개선공사 건설사업관리(시공단계) 엔지니어링(1차),국도20호선 산청 시천~단성 수해개선 사업관리
국도20호선 상구교 등 10개소 정기안전점검 건설엔지니어링,국도20호선 상구교 등 10개소 정기안전점검
국도20호선 생비량 도전지구 외 1개소 수해복구공사 폐기물처리용역,국도20호선 생비량 도전 외 1개소 수해복구 폐기물처리
국도20호선 세간교 등 20개소 건설엔지니어링사업(정밀안전점검 및 내진성능평가),국도20호선 세간교 등 20개소 정밀점검·내진평가
국도20호선 용명육교 등 11개소 정기안전점검 건설엔지니어링,국도20호선 용명육교 등 11개소 정기안전점검
국도20호선 용명육교 등 4개소 정밀안전점검 및 2종 성능평가 건설엔지니어링,국도20호선 용명육교 등 4개소 정밀점검·성능평가
국도20호선 우복IC육교 등 6개소 정밀안전진단 및 내진성능평가 건설엔지니어링,국도20호선 우복IC육교 등 6개소 정밀진단·내진평가
국도20호선 적포교 등 8개소 건설엔지니어링사업(정밀안전점검),국도20호선 적포교 등 8개소 정밀안전점검
국도20호선 제2의곡교 등 5개교 내진보강공사 실시설계 건설엔지니어링,국도20호선 제2의곡교 등 5개교 내진보강 설계
국도20호선 죽전2교(상) 등 10개소 건설엔지니어링사업(정밀안전점검 및 성능평가),국도20호선 죽전2교 등 10개소 정밀점검·성능평가
국도20호선 창녕 고암 계상 등 4개소 포장도 보수공사 건설폐기물처리용역,국도20호선 창녕 고암 등 4개소 포장 폐기물처리
국도20호선 창녕 대지 본초1지구 낙석산사태 위험지구 정비공사,국도20호선 창녕 대지 본초1지구 낙석산사태 정비
국도20호선 창녕 유어 선소 등 2개소 낙석산사태 정비공사,국도20호선 창녕 유어 선소 등 2개소 낙석산사태 정비
국도20호선 창녕 유어 선소 등 2개소 낙석산사태 정비공사 폐기물처리용역,국도20호선 창녕 선소 등 2개소 낙석정비 폐기물처리
국도20호선 청도 금천 동곡교차로 등 3개소 개선공사 실시설계용역,국도20호선 청도 동곡교차로 등 3개소 개선 설계
국도20호선 청도 원정 모강(대남-모강) 단구간 확장사업(4차)-레미콘(총액),국도20호선 청도 모강 확장 레미콘
국도20호선 청도 청도 모강교차로~원당교차로 개선공사 실시설계용역,국도20호선 청도 모강~원당교차로 개선 설계
국도20호선 청도 풍각 금곡 등 6개소 포장도 보수공사 건설폐기물처리용역,국도20호선 청도 풍각 금곡 등 6개소 포장 폐기물처리
국도20호선 청도 화양 등 5개소 도로안전시설물 정비공사,국도20호선 청도 화양 등 5개소 안전시설 정비
국도20호선 청도 화양 범곡 단구간 확장공사 폐기물처리용역,국도20호선 청도 화양 범곡 확장 폐기물처리
국도20호선 청도군 각남면 칠성리 위험도로 개량사업 폐기물처리용역,국도20호선 청도 각남 칠성리 위험도로 개량 폐기물
국도20호선 청림교 등 9개소 정기안전점검 건설엔지니어링,국도20호선 청림교 등 9개소 정기안전점검
국도20호선 포항 남구 대송 장동-경주 강동 왕신리 도로환경 정비공사,국도20호선 포항 대송 장동~경주 왕신리 도로환경정비
국도20호선 포항 남구 연일 우복-대송 장동리 도로환경 정비공사,국도20호선 포항 연일 우복~대송 장동리 도로환경정비
"국도21,23,26,27호선 김제-전주-진안지내 풀베기용역",국도21·23·26·27호선 김제~진안 풀베기
국도21호선 24DY21U04503 등 15개소 정밀안전점검 및 성능평가 용역,국도21호선 등 15개소 정밀점검·성능평가
국도21호선 가산교 등 4개소 건설엔지니어링 사업(정밀안전점검),국도21호선 가산교 등 4개소 정밀안전점검
국도21호선 공덕대교(상) 등 2개교 정밀·정기안전점검용역,국도21호선 공덕대교 등 2개교 정밀·정기안전점검
국도21호선 관창교차로 램프포장도 보수공사 건설폐기물처리용역,국도21호선 관창교차로 램프포장 폐기물처리
국도21호선 구이대교(상) 등 2개교 정밀안전진단 및 1종성능평가용역,국도21호선 구이대교 등 2개교 정밀진단·성능평가
국도21호선 군산 개정 옥석 통로암거 등 2개소 보수공사,국도21호선 군산 개정 옥석 통로암거 등 2개소 보수
국도21호선 군산 대야IC1교(상) 등 4개교 내진보강공사,국도21호선 군산 대야IC1교 등 4개교 내진보강
국도21호선 군산 성산 금강갑문교(하) 점검시설 보수공사,국도21호선 군산 금강갑문교 점검시설 보수
국도21호선 군산 옥산교차로 병목지점 개선공사 폐기물처리용역(폐아스콘),국도21호선 군산 옥산교차로 개선 폐아스콘처리
국도21호선 군산 옥산교차로 병목지점 개선공사 폐기물처리용역(폐콘크리트),국도21호선 군산 옥산교차로 개선 폐콘크리트처리
국도21호선 군산 옥석IC교(상) 등 3개교 내진보강공사,국도21호선 군산 옥석IC교 등 3개교 내진보강
국도21호선 군산 하구둑사거리 등 4개소 병목지점 개선공사 실시설계용역,국도21호선 군산 하구둑사거리 등 4개소 개선 설계
국도21호선 금강갑문교(상) 등 2개교 정밀안전진단 및1종성능평가용역,국도21호선 금강갑문교 등 2개교 정밀진단·성능평가
국도21호선 김제 백구 석담 통로암거 등 2개소 보수공사,국도21호선 김제 백구 석담 통로암거 등 2개소 보수
국도21호선 김제 학동교차로 병목지점 개선공사 폐기물처리용역,국도21호선 김제 학동교차로 개선 폐기물처리
국도21호선 당정교차로 병목지점 개선공사 건설사업관리(설계단계) 및 설계VE,국도21호선 당정교차로 개선 사업관리·설계VE
국도21호선 당정교차로 병목지점 개선공사 국가유산영향진단,국도21호선 당정교차로 개선 국가유산영향진단
국도21호선 당정교차로 병목지점 개선공사 소규모 재해영향평가,국도21호선 당정교차로 개선 소규모 재해영향평가
국도21호선 당정교차로 병목지점 개선공사 소규모 환경영향평가,국도21호선 당정교차로 개선 소규모 환경영향평가
국도21호선 도고(하) 과적검문소 등 5개소 정비공사 폐기물처리용역,국도21호선 도고 과적검문소 등 5개소 정비 폐기물
국도21호선 두학1교 등 10개소 건설엔지니어링 사업(성능평가),국도21호선 두학1교 등 10개소 성능평가
국도21호선 두현교(상) 등 4개교 정밀·정기안전점검용역,국도21호선 두현교 등 4개교 정밀·정기안전점검
국도21호선 목주교 등 3개소 정밀안전진단(성능평가포함),국도21호선 목주교 등 3개소 정밀안전진단·성능평가
국도21호선 무한교차로-읍내교차로 등 2개구간 차선도색공사,국도21호선 무한교차로~읍내교차로 등 차선도색
국도21호선 보강토1호옹벽 등 3개소 정밀안전점검 및 23개소 정기안전점검,국도21호선 보강토1호옹벽 등 정밀·정기안전점검
국도21호선 보강토옹벽(명천교(우)) 등 10개소 정기안전점검 및 정밀안전점검용역,국도21호선 명천교옹벽 등 10개소 정기·정밀점검
국도21호선 보령시 남포교차로 등 3개소 포장도 보수공사 건설폐기물처리용역,국도21호선 보령 남포교차로 등 3개소 포장 폐기물
국도21호선 보령시 남포교차로~남포삼거리 포장도 보수공사,국도21호선 보령 남포교차로~남포삼거리 포장 보수
국도21호선 보령시 남포면 옥서교차로 등 2개소 교차로 개선공사 실시설계용역 ,국도21호선 보령 옥서교차로 등 2개소 개선 설계
국도21호선 보령시 주포면 보령리~청소면 야현리 보도설치공사,국도21호선 보령 주포 보령리~청소 야현리 보도설치
국도21호선 보령시 주포면 보령리~청소면 야현리 보도설치공사 건설폐기물처리용역,국도21호선 보령 보령리~야현리 보도설치 폐기물
국도21호선 보령시 죽정교차로 개선공사 소규모환경영향평가용역,국도21호선 보령 죽정교차로 개선 소규모환경영향평가
국도21호선 보령시 죽정교차로 등 2개소 개선공사 소규모재해영향평가,국도21호선 보령 죽정교차로 등 2개소 소규모재해평가
국도21호선 보령시 진죽사거리+0.513~정진교A1(하행) 등 3개소 포장도 보수공사,국도21호선 보령 진죽사거리 등 3개소 포장 보수
국도21호선 보령시 진죽사거리+0.513~정진교A1(하행) 등 3개소 포장도 보수공사 건설폐기물처리용역,국도21호선 보령 진죽사거리 등 3개소 포장 폐기물
국도21호선 보령시계-마온교차로간 등 2개구간 차선도색공사,국도21호선 보령시계~마온교차로 등 차선도색
국도21호선 봉강교(하) 등 4개소 정밀안전점검 및 석문대교(상) 등 38개소 정기안전점검용역,국도21호선 봉강교 등 4개소 정밀·38개소 정기점검
국도21호선 부용교(상) 등 4개교 정밀·정기안전점검용역,국도21호선 부용교 등 4개교 정밀·정기안전점검
국도21호선 삼봉교(상) 등 10개소 건설엔지니어링 사업(정밀안전점검),국도21호선 삼봉교 등 10개소 정밀안전점검
국도21호선 서천-보령 절토사면 STA.5+320~5+569 등 3개소 성능평가,국도21호선 서천~보령 절토사면 등 3개소 성능평가
국도21호선 서천교차로-보령시계간 등 2개구간 차선도색공사,국도21호선 서천교차로~보령시계 등 차선도색
국도21호선 서천군계-두룡2교차로간 등 2개구간 차선도색공사,국도21호선 서천군계~두룡2교차로 등 차선도색
국도21호선 성내리 등 3개소 병목지점개선 건설엔지니어링(실시설계),국도21호선 성내리 등 3개소 병목개선 실시설계
국도21호선 순창 구림 월정 절토사면 등 18개소 정밀안전점검 및 성능평가용역,국도21호선 순창 구림 등 18개소 정밀점검·성능평가
국도21호선 순창 동계 구미리~순창 동계 관전리 등 2개소 차선도색공사,국도21호선 순창 동계 구미리~관전리 등 차선도색
국도21호선 순창 쌍치 종곡리~순창 쌍치 쌍계리 차선도색공사,국도21호선 순창 쌍치 종곡리~쌍계리 차선도색
국도21호선 순창 인계 등 도로환경 개선공사 실시설계용역,국도21호선 순창 인계 등 도로환경 개선 설계
국도21호선 신달 램프E 외측 보강토옹벽 성능평가 및 8개소 정밀안전점검 등,국도21호선 신달 램프E 옹벽 등 8개소 정밀점검
국도21호선 아산 배방 은수교차로 개선공사 폐기물처리용역,국도21호선 아산 배방 은수교차로 개선 폐기물처리
국도21호선 아산 배방지하차도 건설공사 소규모 지하안전영향평가,국도21호선 아산 배방지하차도 소규모 지하안전평가
국도21호선 아산 송악 평촌절토사면 등 12개소 시설물 정비공사,국도21호선 아산 송악 평촌사면 등 12개소 정비
국도21호선 아산 순천향대삼거리 교차로 개선공사 건설폐기물처리용역,국도21호선 아산 순천향대삼거리 개선 폐기물처리
국도21호선 아산시 신창면 방호울타리정비 등 8개소 도로안전시설 정비공사,국도21호선 아산 신창 등 8개소 안전시설 정비
국도21호선 옥석(상) 과적검문소 등 7개소 단속시설 개선공사,국도21호선 옥석 과적검문소 등 7개소 단속시설 개선
국도21호선 와동교(상) 등 4개교 정밀·정기안전점검용역,국도21호선 와동교 등 4개교 정밀·정기안전점검
국도21호선 완주 상관IC교(상) 등 2개교 내진보강공사,국도21호선 완주 상관IC교 등 2개교 내진보강
국도21호선 음봉천교 등 7개소 성능평가(정밀안전점검포함)용역,국도21호선 음봉천교 등 7개소 성능평가
